name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source
Acrobatic,General,"You are skilled at leaping, jumping, and flying.",,,"You get a +2 bonus on all Acrobatics and Fly skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,PFRPG Core
Acrobatic Steps,General,You can easily move over and through obstacles.,"Dex 15, Nimble Moves.",Nimble Moves,"Whenever you move, you may move through up to 15 feet of difficult terrain each round as if it were normal terrain. The effects of this feat stack with those provided by Nimble Moves (allowing you to move normally through a total of 20 feet of difficult terrain each round).",,,PFRPG Core
Agile Maneuvers,Combat,You've learned to use your quickness in place of brute force when performing combat maneuvers.,,,You add your Dexterity bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus (see Chapter 8) instead of your Strength bonus.,You add your Strength bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus.,,PFRPG Core
Alertness,General,You often notice things that others might miss.,,,"You get a +2 bonus on Perception and Sense Motive skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,PFRPG Core
Alignment Channel,General,"Choose chaos, evil, good, or law. You can channel divine energy to affect outsiders that possess this subtype.",Ability to channel energy.,,"Instead of its normal effect, you can choose to have your ability to channel energy heal or harm outsiders of the chosen alignment subtype. You must make this choice each time you channel energy. If you choose to heal or harm creatures of the chosen alignment subtype, your channel energy has no effect on other creatures. The amount of damage healed or dealt and the DC to halve the damage is otherwise unchanged.",,"You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new alignment subtype. Whenever you channel energy, you must choose which type to effect.",PFRPG Core
Animal Affinity,General,You are skilled at working with animals and mounts.,,,"You get a +2 bonus on all Handle Animal and Ride skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,PFRPG Core
Arcane Armor Mastery,Combat,You have mastered the ability to cast spells while wearing armor.,"Arcane Armor Training, Medium Armor Proficiency, caster level 7th.","Arcane Armor Training, Medium Armor Proficiency","As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 20% for any spells you cast this round. This bonus replaces, and does not stack with, the bonus granted by Arcane Armor Training.",,,PFRPG Core
Arcane Armor Training,Combat,You have learned how to cast spells while wearing armor.,"Light Armor Proficiency, caster level 3rd.",Light Armor Proficiency,"As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 10% for any spells you cast this round.",,,PFRPG Core
Arcane Strike,Combat,You draw upon your arcane power to enhance your weapons with magical energy.,Ability to cast arcane spells.,,"As a swift action, you can imbue your weapons with a fraction of your power. For 1 round, your weapons deal +1 damage and are treated as magic for the purpose of overcoming damage reduction. For every five caster levels you possess, this bonus increases by +1, to a maximum of +5 at 20th level.",,,PFRPG Core
Heavy Armor Proficiency,Combat,You are skilled at wearing heavy armor.,"Light Armor Proficiency, Medium Armor Proficiency.","Light Armor Proficiency, Medium Armor Proficiency","See Armor Proficiency, Light.","See Armor Proficiency, Light.",Fighters and paladins automatically have Heavy Armor Proficiency as a bonus feat. They need not select it.,PFRPG Core
Light Armor Proficiency,Combat,You are skilled at wearing light armor.,,,"When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Dexterity- and Strength-based skill checks.",A character who is wearing armor with which he is not proficient applies its armor check penalty to attack rolls and to all skill checks that involve moving.,"All characters except monks, sorcerers, and wizards automatically have Light Armor Proficiency as a bonus feat. They need not select it.",PFRPG Core
Medium Armor Proficiency,Combat,You are skilled at wearing medium armor.,Light Armor Proficiency.,Light Armor Proficiency,"See Armor Proficiency, Light.","See Armor Proficiency, Light.","Barbarians, clerics, druids, fighters, paladins, and rangers automatically have Medium Armor Proficiency as a bonus feat. They need not select it.",PFRPG Core
Athletic,General,You possess inherent physical prowess.,,,"You get a +2 bonus on Climb and Swim skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,PFRPG Core
Augment Summoning,General,Your summoned creatures are more powerful and robust.,Spell Focus (conjuration).,Spell Focus (conjuration),Each creature you conjure with any summon spell gains a +4 enhancement bonus to Strength and Constitution for the duration of the spell that summoned it.,,,PFRPG Core
Bleeding Critical,Combat,Your critical hits cause opponents to bleed profusely.,"Critical Focus, base attack bonus +11.",Critical Focus,"Whenever you score a critical hit with a slashing or piercing weapon, your opponent takes 2d6 points of bleed damage (see Appendix 2) each round on his turn, in addition to the damage dealt by the critical hit. Bleed damage can be stopped by a DC 15 Heal skill check or through any magical healing. The effects of this feat stack.",,You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.,PFRPG Core
